순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
207,자기계발,공감 능력 UP 감정카드,K712635560,9791155056608,40370,한국콘텐츠미디어(매일넷앤드비즈),(주)한국콘텐츠미디어 (부설)한국진로교육센터 지음,14500,13050,1450,10%,720점,20190214,9341
208,자기계발,생각하라! 그러면 부자가 되리라,8974256428,9788974256425,13320,국일미디어(국일출판사),"나폴레온 힐 지음, 남문희 옮김",13500,12150,1350,10%,670점,20180122,8600
209,자기계발,2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇,K992531708,9791186688960,3320,나무생각,"고이케 히로시 지음, 이정환 옮김",12800,11520,1280,10%,640점,20170814,11542
210,자기계발,지혜의 심리학,8997743333,9788997743339,3180,진성북스,김경일 지음,16500,14850,1650,10%,820점,20170313,5630
211,자기계발,닥터 도티의 삶을 바꾸는 마술가게,K912535488,9791158881405,3320,판미동,"제임스 도티 지음, 주민아 옮김",14800,13320,1480,10%,740점,20160712,16967
212,자기계발,감정 연습,1185566007,9791185566009,3320,나비랑북스,"제리 힉스 & 에스더 힉스 지음, 박행국.조한근 옮김",15000,13500,1500,10%,750점,20150108,2315
213,자기계발,몰입,8994950028,9788994950020,3190,봉황동래,윤홍식 지음,18000,16200,1800,10%,900점,20140315,3698
214,자기계발,올바른 인생성공을 위한 리더십,8955683995,9788955683998,93320,양서각,박유진 지음,15000,15000,0,0%,750점,20140110,1521
215,자기계발,카네기 인간관계론 (반양장),8956370591,9788956370590,4320,씨앗을뿌리는사람,"데일 카네기 지음, 최염순 옮김",12000,10800,1200,10%,600점,20041125,40459
216,자기계발,짧은 말이 무기가 된다,K292738626,9791166570063,3190,센시오,"유게 토루 지음, 김진연 옮김",16000,14400,1600,10%,800점,20210228,780
217,자기계발,태도가 능력이 될 때,8901248107,9788901248103,3320,리더스북,"야스다 다다시 지음, 노경아 옮김",15000,13500,1500,10%,750점,20210208,1590
218,자기계발,어제와 똑같은 내가 싫어서 심리학을 공부하기 시작했습니다,8934986670,9788934986676,3320,김영사,"홋타 슈고 지음, 정현 옮김",13800,12420,1380,10%,690점,20210131,1595
219,자기계발,대화의 품격,K272737595,9791196986759,3190,위북,이서정 지음,15000,13500,1500,10%,750점,20210111,6700
220,자기계발,마음이 무기가 될 때,894754664X,9788947546645,3320,한국경제신문,"스티븐 클레미치.마라 클레미치 지음, 이영래 옮김",16000,14400,1600,10%,800점,20201210,7120
221,자기계발,기획자의 습관,K852633326,9791165213381,3190,더퀘스트,최장순 지음,14800,13320,1480,10%,740점,20201111,3635
222,자기계발,윤회,8985901923,9788985901925,3100,파피에(딱정벌레),"지나 서미나라 지음, 강태헌 옮김",22000,19800,2200,10%,"1,100점",20201103,7867
223,자기계발,지적교양 지적대화 걸작 문학작품속 명언 600,K282639642,9791186151372,3800,리텍콘텐츠,김태현 지음,15500,13950,1550,10%,770점,20200620,3745
224,자기계발,부자의 운,K072639483,9791130629469,3320,다산북스,"사이토 히토리 지음, 하연수 옮김",14000,12600,1400,10%,700점,20200428,3763
225,자기계발,"훔쳐라, 아티스트처럼 (특별판)",8927811054,9788927811053,2190,중앙books(중앙북스),"오스틴 클레온 지음, 노진희 옮김",15000,13500,1500,10%,750점,20200413,5362
226,자기계발,나는 디지털노마드맘으로 살기로 했다,K892638427,9791196984212,3320,파이프라인,김민선 지음,15000,13500,1500,10%,750점,20200405,5690
227,자기계발,당신의 삶에 명상이 필요할 때,K332637011,9791188331826,3190,스노우폭스북스,"앤디 퍼디컴 지음, 안진환 옮김",16500,14850,1650,10%,820점,20200305,14902
228,자기계발,린치핀,K812636514,9791185392998,13190,라이스메이커,"세스 고딘 지음, 윤영삼 옮김",18000,16200,1800,10%,900점,20191228,16156
229,자기계발,NCS 의사소통 액션북,K972635068,9791189740344,,백산출판사,이지연 지음,17000,17000,0,0%,0점,20190310,812
230,자기계발,스티브 잡스 (보급판),8937432110,9788937432118,3320,민음사,"월터 아이작슨 지음, 안진환 옮김",19800,17820,1980,10%,990점,20151005,5885
231,자기계발,네 가지 질문,8989590396,9788989590392,3840,침묵의향기,"바이런 케이티·스티븐 미첼 지음, 김윤 옮김",15000,13500,1500,10%,750점,20130917,5507
232,자기계발,기획의 정석,8984073660,9788984073661,13320,세종(세종서적),박신영 지음,13000,11700,1300,10%,650점,20130510,11283
233,자기계발,돈보다 운을 벌어라,8965701368,9788965701361,3320,쌤앤파커스,김승호 지음,14000,12600,1400,10%,700점,20130409,9398
234,자기계발,깊은 인생,8958623950,9788958623953,13320,휴머니스트,구본형 지음,13000,11700,1300,10%,650점,20110418,2799
235,자기계발,리얼리티 트랜서핑 2,8935703117,9788935703111,3320,정신세계사,"바딤 젤란드 지음, 박인수 옮김",11000,9900,1100,10%,550점,20090320,11533
236,자기계발,화성에서 온 남자 금성에서 온 여자,8990514401,9788990514400,3840,동녘라이프(친구미디어),"존 그레이 지음, 김경숙 옮김",13000,11700,1300,10%,650점,20060630,24430
237,자기계발,마음의 짐을 안고 있는 당신에게,8934987006,9788934987000,3190,김영사,"나이토 요시히토 지음, 민경욱 옮김",13800,12420,1380,10%,690점,20210222,730
