순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
415,국내도서,페스트,8937462672,9788937462672,4800,민음사,"알베르 카뮈 지음, 김화영 옮김",13000,11700,1300,10%,650점,20110325,87360
416,국내도서,오픽노잼,K162738792,9791197341311,13740,오픽노잼,오픽노잼 지음,23000,20700,2300,10%,"1,150점",20210201,13495
417,국내도서,모두와 친구가 되고 싶은 오로르,8984374199,9788984374195,3840,밝은세상,"더글라스 케네디 지음, 조안 스파르 그림, 조동섭 옮김",17000,15300,1700,10%,850점,20210125,16700
418,국내도서,일인칭 단수,8954675980,9788954675987,3830,문학동네,"무라카미 하루키 지음, 홍은주 옮김",14500,13050,1450,10%,720점,20201126,129910
419,국내도서,2021 시나공 컴퓨터활용능력 2급 실기,K462633411,9791165213169,13000,길벗,길벗 R&D 지음,22000,19800,2200,10%,"1,100점",20201026,30854
420,국내도서,기본투자론,K172637819,9791132102274,93320,한국맥그로힐,"Zvi Boodie.Alex Kane.Alan Marcus 지음, 남상구.최승두 옮김",38000,38000,0,0%,"1,140점",20200103,7067
421,국내도서,"영단기 토익 실전 1000제 1 RC 문제집 + 해설집 (2019 퍼스트브랜드 대상 수상기념 특별가 4,900원)",K122635029,9791163713975,13740,커넥츠영단기,영단기 연구소 엮음,4900,4410,490,10%,240점,20190626,58193
422,국내도서,최신 송배전 공학,8938111245,9788938111241,93560,동일출판사,송길영 지음,29000,26100,2900,10%,"1,450점",20180305,9629
423,국내도서,[STEP 4] 2021 김수환 영어 소방 적중의 순간,K762738937,9791165541774,13740,영기획비엠씨,김수환 지음,15000,13500,1500,10%,750점,20210225,14090
424,국내도서,미국드라마로 배우는 영어표현,K002638303,9791196618384,3700,BOOK귤,윤규철 지음,18000,18000,0,0%,0점,20190901,10862
425,국내도서,STEP 4 전수환 경영학 핵심요약노트 STEP 4,K522534148,9791196384173,93320,밀더북,전수환 지음,20000,18000,2000,10%,"1,000점",20190218,18426
426,국내도서,해커스 토익 실전 1000제 2 RC 리딩 문제집 (Hackers TOEIC Reading),8965422736,9788965422730,13740,해커스어학연구소(Hackers),해커스어학연구소 지음,11900,10710,1190,10%,590점,20190115,50108
427,국내도서,심리상담과 치료의 이론과 실제,8962183951,9788962183955,93180,Cengage Learning,"Gerald Corey 지음, 천성문 외 옮김",35000,35000,0,0%,350점,20170216,9289
428,국내도서,부의 추월차선,8994702342,9788994702346,13320,토트,"엠제이 드마코 지음, 신소영 옮김",15000,13500,1500,10%,750점,20130820,79270
429,국내도서,2021 K리그 스카우팅리포트,K702739039,9791188073665,3690,브레인스토어,히든풋볼.손수호 지음,28000,25200,2800,10%,"1,400점",20210326,5550
430,국내도서,2022 이선화 친절한 교육학 하,K622738483,9791155029176,13370,미래가치,이선화 지음,27000,24300,2700,10%,"1,350점",20210201,13875
431,국내도서,2021 시나공 기출문제집 컴퓨터활용능력 1급 필기,K492737360,9791165213923,13000,길벗,길벗R&D.강윤석 외 지음,14000,12600,1400,10%,700점,20201221,12850
432,국내도서,교육평가의 기초,8999718646,9788999718649,93370,학지사,성태제 지음,22000,22000,0,0%,660점,20190801,8662
433,국내도서,엑셀과 파워포인트 2016,K562532882,9791156643760,93000,한빛아카데미(교재),김지연 지음,22000,22000,0,0%,0점,20171227,8377
434,국내도서,ETS 토익 정기시험 기출문제집 RC,8917228852,9788917228854,13740,(주)YBM(와이비엠),ETS 엮음,12500,11250,1250,10%,620점,20171212,49098
435,국내도서,2021 에듀윌 한국수자원공사 NCS + 전공 봉투모의고사 4+1회,K472738734,9791136009760,13320,에듀윌,에듀윌 취업연구소 지음,14000,12600,1400,10%,700점,20210303,6430
436,국내도서,당신이 옳다 (40만 부 기념 '한 사람' 리커버),8965746663,9788965746669,,해냄,정혜신 지음,15800,14220,1580,10%,790점,20181010,122527
437,국내도서,엄마 박완서의 부엌 : 정확하고 완전한 사랑의 기억,K752737256,9791191187564,3810,세미콜론,호원숙 지음,11200,10080,1120,10%,560점,20210122,18760
