순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
43,외국어,일본어뱅크 New 다이스키 일본어 - 상,K782636920,9791157685530,14730,동양북스(동양문고),문선희 외 지음,16000,16000,0,0%,0점,20191025,7501
44,외국어,패턴과 구조 영문법,K532632697,9791190768009,3700,BOOK귤,윤규철 지음,19000,19000,0,0%,0점,20200901,7437
45,외국어,중국어뱅크 북경대학 신한어구어 3,K022532167,9791157683116,14720,동양북스(동양문고),대계부.류립신.이해연 지음,14000,14000,0,0%,420점,20171210,7171
46,외국어,YBM English Basics Plus,8917231144,9788917231144,13740,(주)YBM(와이비엠),YBM 편집국 지음,14000,12600,1400,10%,700점,20190705,7271
47,외국어,영단기 토익 기출 보카 (영단기 10주년 한정판),K482631999,9791165761110,13740,커넥츠영단기,정재현 지음,5900,5310,590,10%,290점,20200723,25803
48,외국어,해커스 그래머 게이트웨이 베이직 : 초보를 위한 기초 영문법 (Grammar Gateway Basic),8965422922,9788965422921,13740,해커스어학연구소(Hackers),David Cho 지음,14900,13410,1490,10%,740점,20190527,25327
49,외국어,해커스 신토익 중급 리스닝 LC (Hackers TOEIC LC),8965421748,9788965421740,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,14900,13410,1490,10%,740점,20200522,28606
50,외국어,ETS 토익스피킹(토스) 기출 단기공략,8917231586,9788917231588,,(주)YBM(와이비엠),ETS 지음,20000,18000,2000,10%,"1,000점",20191010,8058
51,외국어,일본어뱅크 New 스타일 일본어 1,K602632953,9791157685509,14730,동양북스(동양문고),이현진.최윤정.최성옥 지음,14000,12600,1400,10%,700점,20191030,5135
52,외국어,해커스 토익 왕기초 LC Listening 리스닝,8965423295,9788965423294,13740,해커스어학연구소(Hackers),해커스어학연구소 지음,13900,12510,1390,10%,690점,20200529,26316
53,외국어,실속 100% 러시아어 첫걸음 1,8955185871,9788955185874,14790,랭기지플러스(Language Plus),안지영.갈리나 부드니코바 지음,16000,14400,1600,10%,800점,20190304,6196
54,외국어,Ocean Topics,K112636669,9791160732740,93740,경문사(경문북스),홍옥숙 외 지음,15000,15000,0,0%,450점,20190901,5401
55,외국어,New 일본어 상용한자 기초 마스터 1026,8927712307,9788927712305,13730,다락원,한선희.이이호시 카즈야 지음,17000,15300,1700,10%,850점,20200302,15920
56,외국어,ETS 토익 단기 공략 550+ LC + RC,8917235921,9788917235920,13740,(주)YBM(와이비엠),ETS 지음,17000,15300,1700,10%,850점,20200612,8413
57,외국어,파고다 토익 기본 완성 RC (본서 + 해설서 + Mini Test 5회 + Actual Test 1회),8962818191,9788962818192,13740,파고다,홍수림.파고다교육그룹 언어교육연구소 지음,14000,12600,1400,10%,700점,20190105,10800
58,외국어,ETS 토익 기출 공식종합서 LC 리스닝,8917230466,9788917230468,13740,와이비엠,ETS 지음,19800,17820,1980,10%,990점,20181106,20562
