순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
941,대학교재/전문서적,재료역학,8936319086,9788936319083,93550,청문각(교문사),"Ansel C. Ugural 지음, 윤영한 외 옮김",35000,35000,0,0%,"1,750점",20191231,2347
942,대학교재/전문서적,영상 제작론,K532636041,9791128815973,93680,커뮤니케이션북스,최이정 지음,35800,35800,0,0%,"1,070점",20200205,3082
943,대학교재/전문서적,민법총칙 (송덕수),K192636822,9791130335155,93360,박영사,송덕수 지음,36000,36000,0,0%,"1,080점",20200110,2815
944,대학교재/전문서적,문학교육을 위한 고전시가작품론,K192636661,9791189946258,93370,사회평론아카데미,염은열.류수열.최홍원 지음,27000,27000,0,0%,810점,20190916,8118
945,대학교재/전문서적,글로벌시대의 문화인류학,K932636866,9791162262290,93380,시그마프레스,"바바라 밀러 지음, 홍석준 외 옮김",27000,27000,0,0%,810점,20190910,2529
946,대학교재/전문서적,간호학개론,8960697699,9788960697690,93510,학지사메디컬,이병숙 외 지음,27000,27000,0,0%,810점,20190215,2469
947,대학교재/전문서적,리스크와 보험,8982071784,9788982071782,93320,문영사,보험경영연구회 지음,30000,30000,0,0%,"1,500점",20190215,3093
948,대학교재/전문서적,가족복지론 (김혜경 외),K652635571,9791161053332,93330,공동체,김혜경 외 지음,23000,23000,0,0%,690점,20190225,3422
949,대학교재/전문서적,캠퍼스 일본어 회화 : 기초편,K712635967,9791157639199,93730,백산출판사,이덕구 지음,15000,15000,0,0%,0점,20200310,2471
950,대학교재/전문서적,대학수학,K072534257,9791125102786,93410,교우사(교재),김병기 외 지음,30000,30000,0,0%,0점,20190225,2240
951,대학교재/전문서적,심리검사와 상담,8999716198,9788999716195,93180,학지사,김동민 외 지음,23000,23000,0,0%,690점,20190301,3683
952,대학교재/전문서적,예비교사를 위한 교육평가 (정미경 외),K052534421,9791161054032,93370,공동체,정미경.권재기.안혜진 지음,19000,19000,0,0%,570점,20190304,2664
953,대학교재/전문서적,교양 노동법,K052533050,9791185994543,93360,문우사(도서출판),한국노동법학회 지음,20000,20000,0,0%,600점,20180903,3906
954,대학교재/전문서적,기업의 시대를 읽는 새로운 경영학,K632533647,9791196135799,93320,시대가치,김용민 외 지음,28000,28000,0,0%,0점,20180830,3059
955,대학교재/전문서적,동양사개론,8944504628,9788944504624,93910,삼영사,신채식 지음,39000,39000,0,0%,"1,950점",20180716,5896
956,대학교재/전문서적,패션마케팅,8971401818,9788971401811,93590,수학사,안광호.황선진.정찬진 지음,30000,30000,0,0%,0점,20180328,2998
957,대학교재/전문서적,연주자를 위한 조성음악분석 2,895916710X,9788959167104,94670,예솔,송무경 지음,17000,15300,1700,10%,850점,20180323,5658
958,대학교재/전문서적,의사소통능력,K542532200,9791196272838,93320,지식공동체,민혜영.유은석.임경령 지음,10000,10000,0,0%,300점,20180305,3099
959,대학교재/전문서적,청소년복지의 이해 (정규석 외),8999713539,9788999713538,93330,학지사,정규석 외 지음,20000,20000,0,0%,600점,20170920,2795
960,대학교재/전문서적,청각학 개론,8999712362,9788999712364,93510,학지사,한국청각학교수협의회 지음,22000,22000,0,0%,660점,20170425,3125
961,대학교재/전문서적,가족복지학,8999711803,9788999711800,93330,학지사,조흥식 외 지음,20000,20000,0,0%,0점,20170310,2950
962,대학교재/전문서적,동역학,8968668590,9788968668593,93550,시그마프레스,"J. L. Meriam.L.G. Kraige.J. N. Bolton 지음, 강연준 외 옮김",38000,38000,0,0%,380점,20170228,3044
963,대학교재/전문서적,기초영양학 (장유경 외),8936316001,9788936316006,93590,교문사,장유경 외 지음,22000,22000,0,0%,660점,20160909,4159
964,대학교재/전문서적,원예학 (워크북 포함),8920000603,9788920000607,,한국방송통신대학교출판문화원,문원.전창후.이지원 지음,19200,19200,0,0%,570점,20100125,3254
965,대학교재/전문서적,기초 영양학,8971407018,9788971407011,93590,수학사,허채옥 외 지음,24000,24000,0,0%,0점,20160222,2681
966,대학교재/전문서적,유아과학교육,8999404463,9788999404467,93370,양서원(박철용),조부경 지음,20000,20000,0,0%,0점,20150810,2889
967,대학교재/전문서적,심리학과 삶,8968664625,9788968664625,93180,시그마프레스,"Richard J. Gerrig.필립 짐바르도 지음, 박권생 외 옮김",30000,30000,0,0%,"1,500점",20150710,3074
