순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
852,장르소설,욕망을 파는 집 2,8954671616,9788954671613,4840,엘릭시르,"스티븐 킹 지음, 이은선 옮김",16800,15120,1680,10%,840점,20200525,1810
853,장르소설,"너네, 아싸인 날 너무 좋아하는 거 아니냐. 2",K112639134,9791165244439,4830,영상출판미디어(주),"나기키 에코 지음, 아유마 사유 그림, ruleeZ 옮김",7000,6300,700,10%,350점,20200601,752
854,장르소설,원치 않는 불사의 모험가 4,K512639732,9791136717894,,서울문화사,"오카노 유 지음, 이경인 옮김, 쟈이안 일러스트",9500,8550,950,10%,470점,20200525,1052
855,장르소설,이윽고 네가 된다 (노블판),K102639621,9791190786072,3830,위즈덤하우스,"이루마 히토마 지음, 나카타니 니오 원작.일러스트, 구수영 옮김",9000,8100,900,10%,450점,20200514,2157
856,장르소설,납골당의 어린왕자 12,K062639482,9791160858501,4810,길찾기,"퉁구스카 지음, MARCH 표지",10000,9000,1000,10%,500점,20200428,1321
857,장르소설,폭군의 아이를 가졌습니다 1~3 세트 - 전3권,K922639480,9791136802194,,페리윙클,류란 지음,35400,31860,3540,10%,"1,770점",20200513,672
858,장르소설,“너 따위가 마왕을 이길 수 있다고 생각하지 마”라며 용사 파티에서 추방되었으니 왕도에서 멋대로 살고 싶다 1,K992639384,9791165076665,4830,㈜소미미디어,"kiki 지음, 킨타 그림, 조민경 옮김",9500,8550,950,10%,470점,20200511,1661
859,장르소설,다행인지 불행인지 1,K862639181,9791165090418,4810,연담,노희다 지음,13000,11700,1300,10%,650점,20200508,551
860,장르소설,마귀,K032639181,9791163160878,3810,고즈넉이엔티,전건우 지음,13500,12150,1350,10%,670점,20200510,836
861,장르소설,언니가 남자 주인공을 주워 왔다 5,K222639866,9791164281992,,에이템포미디어,문시현 지음,12500,11250,1250,10%,620점,20200428,896
862,장르소설,표정 없는 검사,K812638448,9791189571191,3830,블루홀식스(블루홀6),"나카야마 시치리 지음, 이연승 옮김",16000,14400,1600,10%,800점,20200415,1423
863,장르소설,알루나 1~3 세트 - 전3권,K772638935,9791161388373,4810,더클북컴퍼니,유우지 지음,42000,37800,4200,10%,"2,100점",20200331,686
864,장르소설,살인의 쌍곡선,K572638935,9791160074703,3830,한즈미디어(한스미디어),"니시무라 교타로 지음, 이연승 옮김",15000,13500,1500,10%,750점,20200406,3250
865,장르소설,신조협려 1~8 세트 - 전8권,8934985801,9788934985808,4820,김영사,"김용 지음, 이덕옥 옮김",102400,92160,10240,10%,"5,120점",20200401,600
866,장르소설,이노센트 와이프,8965963761,9788965963769,3840,흐름출판,"에이미 로이드 지음, 김지선 옮김",15000,13500,1500,10%,750점,20200406,2253
867,장르소설,변경의 노기사 3,K952638329,9791136706737,4830,서울문화사,"시엔 Bis 지음, 사사이 잇코 그림, 이신 옮김",10000,9000,1000,10%,500점,20200316,836
868,장르소설,왕좌의 게임 아트북,K402638128,9791187824879,3680,아르누보,"데보라 라일리.조디 리븐슨 지음, 한원희 옮김",48000,43200,4800,10%,"2,400점",20200313,763
869,장르소설,익명의 전화,8998274434,9788998274436,3830,북플라자,"야쿠마루 가쿠 지음, 최재호 옮김",16000,14400,1600,10%,800점,20200315,1868
870,장르소설,막내 황녀님 세트 - 전5권,K532638684,9791164790630,4810,해피북스투유,사하 지음,70000,63000,7000,10%,"3,500점",20200305,2237
871,장르소설,신의 수호자 2,K452638587,9791188299058,4830,스토리존,"우에하시 나호코 지음, 김옥희 옮김",11800,10620,1180,10%,590점,20200228,572
872,장르소설,신의 수호자 1,K312638587,9791188299041,4830,스토리존,"우에하시 나호코 지음, 김옥희 옮김",11800,10620,1180,10%,590점,20200228,602
873,장르소설,조용한 아내,8954658717,9788954658713,3840,엘릭시르,"A.S.A. 해리슨 지음, 박현주 옮김",14500,13050,1450,10%,720점,20200224,6021
