순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
828,예술/대중문화,플루트 교실 1,8932606102,9788932606101,93670,삼호뮤직(삼호출판사),정효숙 지음,8000,7200,800,10%,400점,20080715,10575
829,예술/대중문화,제7의 인간,8974092042,9788974092047,34660,눈빛,"존 버거 지음, 장 모르 사진, 차미례 옮김",12000,11400,600,5%,600점,20041111,1892
830,예술/대중문화,세광 간추린 체르니 100번,890331204X,9788903312048,93670,세광음악출판사,세광음악출판사 편집부 엮음,5000,4500,500,10%,250점,19980122,2414
831,예술/대중문화,바하 양식의 대위법,5000056866,,,수문당,토마스 벤자민 지음,21000,21000,0,0%,"1,050점",20200228,856
832,예술/대중문화,바이올린 교본 1,890341201X,9788903412014,93670,세광음악출판사,세광음악출판사 편집부 엮음,6000,5400,600,10%,300점,19821201,4807
833,예술/대중문화,랑게누스 클라리넷 교본 1,8932609586,9788932609584,93670,삼호뮤직(삼호출판사),편집국,10000,9000,1000,10%,500점,20000430,4866
834,예술/대중문화,대위법,8903164180,9788903164180,93670,세광음악출판사,"Kent Kennan 지음, 나인용 옮김",9000,8100,900,10%,450점,19910801,1280
835,예술/대중문화,건반화성실습,8903171128,9788903171126,93670,세광음악출판사,"R.O.MORRIS 지음, 주성희 옮김",7000,6300,700,10%,350점,19911101,1178
836,예술/대중문화,수채 과슈로 그리는 나의 반려식물 핸디 컬러링북,K462739937,9791191443004,13650,북핀,송현미 지음,10000,9000,1000,10%,500점,20210315,310
837,예술/대중문화,후지필름 화질 철학의 모든 것,K752738625,9791191254020,,디카톡,스즈키 후미히코 지음,15000,13500,1500,10%,750점,20210210,330
838,예술/대중문화,세계의 아트디렉터 10,8970593055,9788970593050,93600,안그라픽스,전가경 지음,30000,27000,3000,10%,"1,500점",20210210,710
839,예술/대중문화,뮤지엄 전시기획 시작하기,K472738794,9791191165043,13650,훈스토리북,이성연 지음,18000,16200,1800,10%,900점,20210205,615
840,예술/대중문화,"동주, 소월, 용운, 영랑의 글",K322737256,9791197296925,3810,Muse(뮤즈),"윤동주 외 지음, 권호 엮음, 빈센트 반 고흐 외 그림",15000,13500,1500,10%,750점,20210215,895
841,예술/대중문화,디지털 하이파이,K222737157,9791157832071,3670,e비즈북스,홍진표 지음,20000,18000,2000,10%,"1,000점",20210110,1080
842,예술/대중문화,디어 아마존,8965642590,9788965642596,3600,현실문화A,뱅상 노르망 외 지음,20000,18000,2000,10%,"1,000점",20210115,705
843,예술/대중문화,너의 순간들,8969524436,9788969524430,13650,경향BP,다혜 지음,12800,11520,1280,10%,640점,20201230,2205
